PheCode,Phenotype,Category,OMICSPRED ID,Internal R2,Platform,Description,Hazard Ratio,FDR adjusted P-value
70.4,Chronic hepatitis,infectious diseases,OPGS000082,0.401,SomaScan,MHC class I polypeptide-related sequence A,1.23 (1.11 1.36),1.42E-02
70.4,Chronic hepatitis,infectious diseases,OPGS001416,0.029,SomaScan,Vesicle-fusing ATPase,0.82 (0.74 0.90),1.56E-02
70.4,Chronic hepatitis,infectious diseases,OPGS001146,0.042,SomaScan,Spermatogenesis-associated protein 20,0.83 (0.76 0.92),3.11E-02
70.4,Chronic hepatitis,infectious diseases,OPGS002632,0.022,Olink,Advanced glycosylation end product-specific receptor,0.75 (0.69 0.83),2.63E-06
70.4,Chronic hepatitis,infectious diseases,OPGS002568,0.043,Olink,Granzyme A,0.81 (0.74 0.89),3.08E-03
70.4,Chronic hepatitis,infectious diseases,OPGS002658,0.013,Olink,C-C motif chemokine 22,0.81 (0.73 0.89),5.56E-03
70.4,Chronic hepatitis,infectious diseases,OPGS013243,0.029,RNAseq,TRAV3,0.69 (0.63 0.76),5.42E-11
70.4,Chronic hepatitis,infectious diseases,OPGS006499,0.176,RNAseq,C4A,0.72 (0.66 0.79),6.88E-10
70.4,Chronic hepatitis,infectious diseases,OPGS014496,0.019,RNAseq,VARS1,1.38 (1.26 1.50),6.88E-10
70.4,Chronic hepatitis,infectious diseases,OPGS007675,0.126,RNAseq,TRAV12-2,1.41 (1.29 1.54),7.94E-10
70.4,Chronic hepatitis,infectious diseases,OPGS006845,0.158,RNAseq,FLOT1,1.40 (1.28 1.53),1.77E-09
70.4,Chronic hepatitis,infectious diseases,OPGS005230,0.263,RNAseq,LINC00243,1.40 (1.27 1.55),2.40E-08
70.4,Chronic hepatitis,infectious diseases,OPGS010826,0.056,RNAseq,TRIM10,0.75 (0.68 0.81),6.35E-08
70.4,Chronic hepatitis,infectious diseases,OPGS006716,0.164,RNAseq,IER3,1.37 (1.25 1.51),7.24E-08
70.4,Chronic hepatitis,infectious diseases,OPGS009865,0.072,RNAseq,TRAV17,0.74 (0.68 0.81),1.68E-07
70.4,Chronic hepatitis,infectious diseases,OPGS011784,0.044,RNAseq,TUBB,1.39 (1.25 1.54),5.08E-07
70.4,Chronic hepatitis,infectious diseases,OPGS009198,0.085,RNAseq,TRAV12-1,1.37 (1.24 1.51),5.56E-07
70.4,Chronic hepatitis,infectious diseases,OPGS006866,0.157,RNAseq,AL662795.2,1.39 (1.25 1.54),5.56E-07
70.4,Chronic hepatitis,infectious diseases,OPGS010693,0.058,RNAseq,TRBV5-1,1.34 (1.22 1.47),6.36E-07
70.4,Chronic hepatitis,infectious diseases,OPGS012006,0.041,RNAseq,VARS2,0.75 (0.68 0.82),1.31E-06
70.4,Chronic hepatitis,infectious diseases,OPGS003680,0.611,RNAseq,,1.30 (1.19 1.42),2.32E-06
70.4,Chronic hepatitis,infectious diseases,OPGS013225,0.029,RNAseq,REG4,0.76 (0.69 0.84),8.09E-06
70.4,Chronic hepatitis,infectious diseases,OPGS013045,0.030,RNAseq,NEU1,0.77 (0.70 0.84),9.82E-06
70.4,Chronic hepatitis,infectious diseases,OPGS009371,0.082,RNAseq,TRBV19,0.75 (0.68 0.83),1.95E-05
70.4,Chronic hepatitis,infectious diseases,OPGS004334,0.383,RNAseq,HLA-G,0.75 (0.68 0.83),2.80E-05
70.4,Chronic hepatitis,infectious diseases,OPGS005334,0.253,RNAseq,AL645933.4,0.77 (0.70 0.85),1.05E-04
70.4,Chronic hepatitis,infectious diseases,OPGS014283,0.021,RNAseq,MXRA8,0.76 (0.69 0.85),1.62E-04
70.4,Chronic hepatitis,infectious diseases,OPGS013013,0.031,RNAseq,FOXJ1,0.80 (0.73 0.87),1.63E-04
70.4,Chronic hepatitis,infectious diseases,OPGS009222,0.085,RNAseq,,0.79 (0.72 0.86),1.72E-04
70.4,Chronic hepatitis,infectious diseases,OPGS003843,0.532,RNAseq,BTN3A2,0.80 (0.73 0.87),2.67E-04
70.4,Chronic hepatitis,infectious diseases,OPGS011073,0.053,RNAseq,TRBV7-3,1.35 (1.20 1.51),2.73E-04
70.4,Chronic hepatitis,infectious diseases,OPGS010142,0.067,RNAseq,PRSS16,1.23 (1.13 1.33),5.92E-04
70.4,Chronic hepatitis,infectious diseases,OPGS010561,0.060,RNAseq,IL2RA,1.26 (1.14 1.38),7.12E-04
70.4,Chronic hepatitis,infectious diseases,OPGS004406,0.369,RNAseq,,0.79 (0.71 0.87),7.29E-04
70.4,Chronic hepatitis,infectious diseases,OPGS010607,0.059,RNAseq,TRAV8-1,1.26 (1.14 1.38),8.24E-04
70.4,Chronic hepatitis,infectious diseases,OPGS009241,0.084,RNAseq,ZKSCAN4,1.24 (1.13 1.35),1.14E-03
70.4,Chronic hepatitis,infectious diseases,OPGS006942,0.154,RNAseq,SKIV2L,0.78 (0.70 0.87),1.54E-03
70.4,Chronic hepatitis,infectious diseases,OPGS012093,0.040,RNAseq,TRIM26,1.25 (1.14 1.38),1.65E-03
70.4,Chronic hepatitis,infectious diseases,OPGS015052,0.015,RNAseq,CISH,1.25 (1.13 1.39),3.25E-03
70.4,Chronic hepatitis,infectious diseases,OPGS010624,0.059,RNAseq,TRBV18,1.25 (1.13 1.38),3.25E-03
70.4,Chronic hepatitis,infectious diseases,OPGS014580,0.018,RNAseq,DACT1,1.26 (1.13 1.40),7.03E-03
70.4,Chronic hepatitis,infectious diseases,OPGS011283,0.050,RNAseq,CD248,0.81 (0.74 0.89),7.03E-03
70.4,Chronic hepatitis,infectious diseases,OPGS007248,0.141,RNAseq,,0.78 (0.70 0.88),7.89E-03
70.4,Chronic hepatitis,infectious diseases,OPGS013406,0.027,RNAseq,AL353759.1,1.25 (1.12 1.39),9.56E-03
70.4,Chronic hepatitis,infectious diseases,OPGS012358,0.037,RNAseq,SFRP5,0.81 (0.73 0.90),1.12E-02
70.4,Chronic hepatitis,infectious diseases,OPGS010799,0.057,RNAseq,SAPCD1-AS1,1.30 (1.14 1.47),1.42E-02
70.4,Chronic hepatitis,infectious diseases,OPGS009920,0.071,RNAseq,LINC02446,0.82 (0.74 0.90),1.47E-02
70.4,Chronic hepatitis,infectious diseases,OPGS007604,0.128,RNAseq,U91328.1,1.22 (1.10 1.34),1.56E-02
70.4,Chronic hepatitis,infectious diseases,OPGS005674,0.223,RNAseq,ACTR5,1.23 (1.11 1.36),1.79E-02
70.4,Chronic hepatitis,infectious diseases,OPGS006248,0.189,RNAseq,MCCD1,0.82 (0.75 0.91),2.11E-02
70.4,Chronic hepatitis,infectious diseases,OPGS006854,0.158,RNAseq,,0.83 (0.76 0.91),2.17E-02
70.4,Chronic hepatitis,infectious diseases,OPGS011249,0.050,RNAseq,AC009113.1,0.86 (0.80 0.93),2.21E-02
70.4,Chronic hepatitis,infectious diseases,OPGS011787,0.044,RNAseq,C2,1.21 (1.10 1.33),2.26E-02
70.4,Chronic hepatitis,infectious diseases,OPGS010850,0.056,RNAseq,LTA,0.82 (0.75 0.91),2.46E-02
70.4,Chronic hepatitis,infectious diseases,OPGS013780,0.024,RNAseq,ZSCAN16,1.20 (1.09 1.31),2.73E-02
70.4,Chronic hepatitis,infectious diseases,OPGS013896,0.023,RNAseq,ATF6B,1.21 (1.10 1.33),2.73E-02
70.4,Chronic hepatitis,infectious diseases,OPGS007407,0.135,RNAseq,TRBV2,1.20 (1.09 1.32),2.73E-02
70.4,Chronic hepatitis,infectious diseases,OPGS005129,0.274,RNAseq,MKRN2,0.80 (0.71 0.90),2.80E-02
70.4,Chronic hepatitis,infectious diseases,OPGS007297,0.140,RNAseq,GPANK1,0.81 (0.72 0.90),3.13E-02
70.4,Chronic hepatitis,infectious diseases,OPGS013298,0.028,RNAseq,IL7R,0.83 (0.74 0.91),4.34E-02
70.4,Chronic hepatitis,infectious diseases,OPGS014311,0.020,RNAseq,MBNL2,0.86 (0.79 0.93),4.58E-02
70.9,Hepatitis NOS,infectious diseases,OPGS013632,0.025,RNAseq,PIP4K2C,1.19 (1.11 1.27),1.13E-02
78,Viral warts & HPV,infectious diseases,OPGS006248,0.189,RNAseq,MCCD1,0.87 (0.83 0.92),9.28E-03
112,Candidiasis,infectious diseases,OPGS001550,0.024,SomaScan,Trefoil factor 3,0.93 (0.90 0.96),1.45E-02
112,Candidiasis,infectious diseases,OPGS000569,0.103,SomaScan,cAMP-specific 3'.5'-cyclic phosphodiesterase 4D,0.94 (0.91 0.96),1.45E-02
112,Candidiasis,infectious diseases,OPGS001135,0.043,SomaScan,Hepatocyte nuclear factor 4-alpha,0.94 (0.91 0.97),2.71E-02
112,Candidiasis,infectious diseases,OPGS000147,0.288,SomaScan,Ferritin. mitochondrial,0.94 (0.91 0.97),3.14E-02
112,Candidiasis,infectious diseases,OPGS012358,0.037,RNAseq,SFRP5,0.92 (0.89 0.95),3.27E-04
112,Candidiasis,infectious diseases,OPGS014283,0.021,RNAseq,MXRA8,0.92 (0.89 0.95),7.40E-04
112,Candidiasis,infectious diseases,OPGS013225,0.029,RNAseq,REG4,0.93 (0.91 0.96),1.45E-02
112,Candidiasis,infectious diseases,OPGS011283,0.050,RNAseq,CD248,0.93 (0.91 0.96),1.45E-02
112,Candidiasis,infectious diseases,OPGS009920,0.071,RNAseq,LINC02446,0.93 (0.91 0.96),1.45E-02
112,Candidiasis,infectious diseases,OPGS004065,0.446,RNAseq,,0.93 (0.90 0.96),2.01E-02
112,Candidiasis,infectious diseases,OPGS006866,0.157,RNAseq,AL662795.2,1.07 (1.04 1.10),2.41E-02
112,Candidiasis,infectious diseases,OPGS014232,0.021,RNAseq,TRAV1-2,0.94 (0.91 0.97),2.76E-02
112,Candidiasis,infectious diseases,OPGS006634,0.169,RNAseq,,0.94 (0.91 0.97),3.90E-02
112,Candidiasis,infectious diseases,OPGS010693,0.058,RNAseq,TRBV5-1,1.06 (1.03 1.09),3.90E-02
112,Candidiasis,infectious diseases,OPGS010826,0.056,RNAseq,TRIM10,0.94 (0.92 0.97),4.41E-02
112,Candidiasis,infectious diseases,OPGS012006,0.041,RNAseq,VARS2,0.94 (0.91 0.97),4.91E-02
112,Candidiasis,infectious diseases,OPGS006942,0.154,RNAseq,SKIV2L,0.94 (0.91 0.97),4.91E-02
133,Arthropod-borne diseases,infectious diseases,OPGS011126,0.052,RNAseq,C22orf39,228.98 (23.21 2258.86),4.86E-02
153.2,Colon cancer,neoplasms,OPGS010163,0.066,RNAseq,AL121832.2,1.07 (1.04 1.10),1.86E-02
153.3,Malignant neoplasm of rectum. rectosigmoid junction. and anus,neoplasms,OPGS010163,0.066,RNAseq,AL121832.2,1.08 (1.05 1.12),3.70E-02
153.3,Malignant neoplasm of rectum. rectosigmoid junction. and anus,neoplasms,OPGS010624,0.059,RNAseq,TRBV18,1.08 (1.04 1.11),4.21E-02
155.1,Malignant neoplasm of liver. primary,neoplasms,OPGS002665,0.011,Olink,Neurocan core protein,0.77 (0.71 0.84),1.42E-05
155.1,Malignant neoplasm of liver. primary,neoplasms,OPGS006705,0.165,RNAseq,MAU2,0.79 (0.72 0.86),1.84E-03
155.1,Malignant neoplasm of liver. primary,neoplasms,OPGS014323,0.020,RNAseq,MEF2B,0.90 (0.86 0.94),9.16E-03
157,Pancreatic cancer,neoplasms,OPGS001840,0.016,SomaScan,Inactive pancreatic lipase-related protein 1,0.87 (0.83 0.91),9.53E-05
157,Pancreatic cancer,neoplasms,OPGS000101,0.374,SomaScan,CD209 antigen,1.14 (1.08 1.20),5.47E-03
157,Pancreatic cancer,neoplasms,OPGS000456,0.126,SomaScan,Coagulation Factor VIII,1.13 (1.08 1.19),5.47E-03
157,Pancreatic cancer,neoplasms,OPGS001987,0.013,SomaScan,Insulin-like growth factor 1 receptor,0.89 (0.85 0.94),1.10E-02
157,Pancreatic cancer,neoplasms,OPGS001954,0.014,SomaScan,Tuftelin,0.89 (0.85 0.94),1.10E-02
157,Pancreatic cancer,neoplasms,OPGS001658,0.020,SomaScan,Endoglin,0.89 (0.85 0.94),1.13E-02
157,Pancreatic cancer,neoplasms,OPGS000088,0.392,SomaScan,E-selectin,0.89 (0.85 0.94),1.13E-02
157,Pancreatic cancer,neoplasms,OPGS000004,0.743,SomaScan,Histo-blood group ABO system transferase,1.12 (1.07 1.18),1.42E-02
157,Pancreatic cancer,neoplasms,OPGS002645,0.017,Olink,Carboxypeptidase A1,0.87 (0.83 0.91),1.98E-05
157,Pancreatic cancer,neoplasms,OPGS002408,0.270,Olink,E-selectin,0.88 (0.84 0.93),5.47E-03
157,Pancreatic cancer,neoplasms,OPGS002651,0.015,Olink,von Willebrand factor,1.13 (1.08 1.19),5.47E-03
157,Pancreatic cancer,neoplasms,OPGS002500,0.098,Olink,Galectin-4,0.88 (0.84 0.93),5.93E-03
157,Pancreatic cancer,neoplasms,OPGS003149,0.015,Metabolon,sphingosine,1.11 (1.06 1.17),3.51E-02
157,Pancreatic cancer,neoplasms,OPGS015054,0.015,RNAseq,H19,1.12 (1.07 1.18),1.10E-02
165.1,Cancer of bronchus; lung,neoplasms,OPGS002175,0.011,SomaScan,Chymase,0.99 (0.98 0.99),3.13E-02
165.1,Cancer of bronchus; lung,neoplasms,OPGS000402,0.138,SomaScan,HLA class II histocompatibility antigen. DQ alpha 2 chain,0.94 (0.91 0.96),3.22E-02
165.1,Cancer of bronchus; lung,neoplasms,OPGS003190,0.012,Metabolon,3-methylxanthine,1.08 (1.05 1.11),8.94E-03
165.1,Cancer of bronchus; lung,neoplasms,OPGS003226,0.010,Metabolon,indolin-2-one,0.93 (0.90 0.96),1.12E-02
165.1,Cancer of bronchus; lung,neoplasms,OPGS003106,0.018,Metabolon,X - 12126,1.07 (1.04 1.10),3.13E-02
165.1,Cancer of bronchus; lung,neoplasms,OPGS003097,0.019,Metabolon,X - 12216,1.07 (1.04 1.10),4.86E-02
165.1,Cancer of bronchus; lung,neoplasms,OPGS003834,0.535,RNAseq,AC026748.3,1.10 (1.07 1.13),2.55E-05
165.1,Cancer of bronchus; lung,neoplasms,OPGS004694,0.324,RNAseq,IREB2,0.93 (0.90 0.96),6.93E-03
165.1,Cancer of bronchus; lung,neoplasms,OPGS009150,0.086,RNAseq,UQCC1,0.94 (0.91 0.96),3.22E-02
172,Skin cancer,neoplasms,OPGS001634,0.021,SomaScan,Melanocyte protein PMEL,0.85 (0.82 0.89),1.01E-07
172.1,Melanomas of skin. dx or hx,neoplasms,OPGS001634,0.021,SomaScan,Melanocyte protein PMEL,0.77 (0.71 0.84),1.95E-05
172.11,Melanomas of skin,neoplasms,OPGS001634,0.021,SomaScan,Melanocyte protein PMEL,0.86 (0.84 0.88),6.13E-31
172.11,Melanomas of skin,neoplasms,OPGS000400,0.139,SomaScan,Agouti-signaling protein,1.13 (1.10 1.15),3.67E-20
172.11,Melanomas of skin,neoplasms,OPGS000734,0.080,SomaScan,KDEL motif-containing protein 2,0.95 (0.93 0.97),1.96E-02
172.11,Melanomas of skin,neoplasms,OPGS003096,0.019,Metabolon,pyroglutamylglutamine,1.08 (1.05 1.11),6.05E-06
172.11,Melanomas of skin,neoplasms,OPGS003007,0.030,Metabolon,trans-urocanate,0.94 (0.92 0.97),5.02E-03
172.11,Melanomas of skin,neoplasms,OPGS004322,0.386,RNAseq,CDK10,0.86 (0.84 0.88),6.13E-31
172.11,Melanomas of skin,neoplasms,OPGS010527,0.060,RNAseq,SPG7,0.87 (0.85 0.89),1.67E-24
172.11,Melanomas of skin,neoplasms,OPGS008718,0.096,RNAseq,,1.11 (1.08 1.14),1.89E-13
172.11,Melanomas of skin,neoplasms,OPGS008702,0.097,RNAseq,,1.10 (1.07 1.13),1.07E-10
172.11,Melanomas of skin,neoplasms,OPGS007969,0.116,RNAseq,SPATA2L,1.10 (1.07 1.12),1.38E-09
172.11,Melanomas of skin,neoplasms,OPGS003834,0.535,RNAseq,AC026748.3,0.92 (0.89 0.94),1.02E-08
172.11,Melanomas of skin,neoplasms,OPGS007528,0.131,RNAseq,SPIRE2,0.93 (0.90 0.95),3.79E-05
172.11,Melanomas of skin,neoplasms,OPGS005895,0.209,RNAseq,MAP1LC3A,0.93 (0.91 0.96),3.79E-05
172.11,Melanomas of skin,neoplasms,OPGS010512,0.061,RNAseq,ITCH,0.93 (0.91 0.96),3.79E-05
172.11,Melanomas of skin,neoplasms,OPGS006251,0.189,RNAseq,MX1,0.94 (0.92 0.97),3.56E-03
172.11,Melanomas of skin,neoplasms,OPGS012279,0.038,RNAseq,CDKN2A,0.94 (0.92 0.97),3.93E-03
172.11,Melanomas of skin,neoplasms,OPGS014277,0.021,RNAseq,DEF8,0.94 (0.91 0.96),5.02E-03
172.11,Melanomas of skin,neoplasms,OPGS013309,0.028,RNAseq,LINC00304,1.06 (1.03 1.08),5.27E-03
172.11,Melanomas of skin,neoplasms,OPGS006115,0.197,RNAseq,LINC01001,1.06 (1.03 1.09),7.48E-03
172.11,Melanomas of skin,neoplasms,OPGS006117,0.196,RNAseq,AL627309.1,1.05 (1.03 1.08),3.77E-02
172.11,Melanomas of skin,neoplasms,OPGS013409,0.027,RNAseq,MTAP,1.05 (1.03 1.08),3.77E-02
172.11,Melanomas of skin,neoplasms,OPGS006874,0.157,RNAseq,CENPBD1,0.95 (0.93 0.98),3.77E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000400,0.139,SomaScan,Agouti-signaling protein,1.10 (1.09 1.11),4.18E-54
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001634,0.021,SomaScan,Melanocyte protein PMEL,0.91 (0.90 0.92),4.21E-54
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001025,0.051,SomaScan,Transmembrane glycoprotein NMB,0.92 (0.91 0.93),1.17E-29
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001011,0.052,SomaScan,Transmembrane glycoprotein NMB,0.93 (0.92 0.94),1.95E-22
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000896,0.063,SomaScan,Interleukin-23,1.05 (1.03 1.06),1.19E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000582,0.101,SomaScan,Cathepsin S,0.96 (0.95 0.97),5.77E-08
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001603,0.022,SomaScan,Zinc fingers and homeoboxes protein 3,0.96 (0.95 0.98),2.24E-06
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002103,0.012,SomaScan,Trefoil factor 3,0.97 (0.96 0.98),5.82E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001550,0.024,SomaScan,Trefoil factor 3,0.97 (0.96 0.98),5.82E-05
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001135,0.043,SomaScan,Hepatocyte nuclear factor 4-alpha,0.97 (0.96 0.98),5.10E-04
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001281,0.035,SomaScan,PAX-interacting protein 1,0.97 (0.96 0.98),1.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001812,0.017,SomaScan,Fibroblast growth factor 19,1.03 (1.01 1.04),4.13E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000145,0.292,SomaScan,Cathepsin H,0.98 (0.96 0.99),5.25E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000261,0.188,SomaScan,alpha-2-macroglobulin receptor-associated protein,1.02 (1.01 1.04),5.29E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001553,0.024,SomaScan,Protein G6b,1.03 (1.01 1.04),5.81E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000156,0.272,SomaScan,alpha-2-macroglobulin receptor-associated protein,1.02 (1.01 1.04),7.00E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000158,0.272,SomaScan,Copine-1,1.02 (1.01 1.04),8.31E-03
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001937,0.014,SomaScan,Protocadherin gamma-B1,1.02 (1.01 1.04),1.06E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000887,0.064,SomaScan,Protein O-linked-mannose beta-1.4-N-acetylglucosaminyltransferase 2,1.02 (1.01 1.04),1.34E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000970,0.056,SomaScan,Extracellular matrix protein 1,1.02 (1.01 1.04),1.64E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000878,0.065,SomaScan,Beta-2-microglobulin,1.02 (1.01 1.04),1.64E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001488,0.026,SomaScan,Ubiquitin-conjugating enzyme E2 G2,0.98 (0.97 0.99),1.81E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000913,0.061,SomaScan,Fibroblast growth factor 7,1.02 (1.01 1.04),1.91E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000734,0.080,SomaScan,KDEL motif-containing protein 2,0.98 (0.97 0.99),1.96E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000632,0.093,SomaScan,Erythrocyte band 7 integral membrane protein,0.98 (0.97 0.99),2.19E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001671,0.020,SomaScan,Tumor necrosis factor ligand superfamily member 6. soluble form,1.02 (1.01 1.03),2.26E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001883,0.015,SomaScan,UMP-CMP kinase,0.98 (0.97 0.99),2.44E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001985,0.013,SomaScan,Isochorismatase domain-containing protein 1,1.02 (1.01 1.03),2.65E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000244,0.195,SomaScan,C-C motif chemokine 25,1.02 (1.01 1.03),2.65E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001828,0.016,SomaScan,Splicing factor 1,1.02 (1.01 1.03),3.08E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000649,0.091,SomaScan,Transcobalamin-1,0.98 (0.97 0.99),3.12E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001673,0.020,SomaScan,Procollagen C-endopeptidase enhancer 1,1.02 (1.01 1.03),3.12E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000832,0.069,SomaScan,Complement C1q tumor necrosis factor-related protein 5,0.98 (0.97 0.99),3.13E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000664,0.088,SomaScan,BPI fold-containing family A member 2,0.98 (0.97 0.99),3.24E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001238,0.037,SomaScan,Dedicator of cytokinesis protein 9,0.98 (0.97 0.99),3.40E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001352,0.031,SomaScan,Sterol-4-alpha-carboxylate 3-dehydrogenase. decarboxylating,1.02 (1.01 1.03),3.42E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001769,0.018,SomaScan,Peptidyl-prolyl cis-trans isomerase FKBP14,1.02 (1.01 1.03),3.53E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS000566,0.103,SomaScan,CD109 antigen,0.98 (0.97 0.99),3.73E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001928,0.014,SomaScan,Sorting nexin-1,0.98 (0.97 0.99),4.18E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS001319,0.032,SomaScan,Rieske domain-containing protein,1.02 (1.01 1.03),4.71E-02
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002530,0.067,Olink,Trefoil factor 3,0.95 (0.94 0.96),8.38E-13
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002643,0.018,Olink,Neuroblastoma suppressor of tumorigenicity 1,0.96 (0.94 0.97),7.81E-11
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002598,0.031,Olink,Interleukin-10,1.05 (1.03 1.06),1.22E-10
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002420,0.225,Olink,Interleukin-12 subunit beta,1.04 (1.03 1.06),6.39E-09
172.2,Other non-epithelial cancer of skin,neoplasms,OPGS002433,0.194,Olink,Interleukin-12 subunit alpha;beta,1.04 (1.03 1.06),1.22E-08
